numVertices,maxWeight
5,1.0230087181715515
10,1.1259459106812795
15,1.1680983595526138
20,1.2033106255168502
25,1.2202053032444606
30,1.2414109834077172
35,1.243689445374928
40,1.2648257871595625
45,1.260275410072312
50,1.2834310775219282
55,1.2775481537619766
60,1.294505376479612
65,1.2924803236770952
70,1.3061255153095166
75,1.3077028069342536
80,1.3140628614652927
85,1.3175675586867506
90,1.3195392363468055
95,1.3264142368275822
100,1.3230180610357132
105,1.334714999193774
110,1.3239947883410828
115,1.338551025854905
120,1.3235578750814692
125,1.3452436025624381
130,1.3359830432490707
135,1.3496569261077536
140,1.3442664288729185
145,1.3524445154157516
150,1.3516875134397404
155,1.3559474223072243
160,1.3577190102407992
165,1.356029799876707
170,1.362785066977845
175,1.355478124451262
180,1.3668723155719777
185,1.3512501206444207
190,1.3714750649888792
195,1.3552042835889007
200,1.3738386002356116
205,1.3634941904587705
210,1.3749748324975868
215,1.3703752479084672
220,1.3754697186281932
225,1.3760375411334769
230,1.3773085017523727
235,1.3801901591147605
240,1.373931432268385
245,1.3831831979687572
250,1.3724204630540116
255,1.385757734945391
260,1.3652502582489106
265,1.3877272323335517
270,1.3773206628069434
275,1.3890096029374355
280,1.382439799749003
285,1.3898132653079476
290,1.3872807260737643
295,1.3914824620957507
300,1.3919198874746563
305,1.3885843761255108
310,1.3947029670411426
315,1.3878475430069632
320,1.3981425792728877
325,1.3813169611567968
