numVertices,maxWeight
5,0.9081807883989901
10,1.010590648861952
15,1.054723651438876
20,1.0874637586445162
25,1.104341628124222
30,1.124375870048512
35,1.1272537964475295
40,1.1485582893900352
45,1.1425135762166025
50,1.1646216285406958
55,1.1584888076922004
60,1.1780712195283716
65,1.1740936704355016
70,1.1894140071013715
75,1.1865080161772914
80,1.1956392590701508
85,1.1985774000211793
90,1.1989777295609276
95,1.2063715803717807
100,1.2028185777239953
105,1.2140204659165872
110,1.2023389857156934
115,1.220731840143205
120,1.2000974318502005
125,1.2255161545670605
130,1.2145572500875692
135,1.2287694603120096
140,1.2234668500136585
145,1.2322005498407171
150,1.2309203592460092
155,1.2329807101506234
160,1.2362553004712231
165,1.2330387239821938
170,1.241640399768127
175,1.2326641781963186
180,1.245487028939071
185,1.2282622009691269
190,1.2475005711994702
195,1.2312311278204815
200,1.251073847368967
205,1.241121638158652
210,1.2533750258667486
215,1.2464210880267204
220,1.252165697412571
225,1.2530916440268465
230,1.2526564492631094
235,1.2568560472813621
240,1.25074632455572
245,1.259983941869355
250,1.2473403215227195
255,1.2616113111512282
260,1.2390705086446432
265,1.2633889756139156
270,1.2514354685812565
275,1.2650207358035628
280,1.2579871103842466
285,1.2653471057493335
290,1.2633499545100402
295,1.2662268663637117
300,1.2658755192365945
305,1.2645620509684794
310,1.2704578215449993
